kind	status	output	command
query	0	graphify-out/workspace-audit-runs/20260428T043911Z/query_hot_path_optimization_opportunities.md	graphify query Find\ the\ highest-leverage\ runtime\ optimization\ opportunities\ in\ discovery\,\ watcher\ ingestion\,\ registry\ reads/writes\,\ topology\ refresh\,\ route\ enumeration\,\ route\ evaluation\,\ worker\ IPC\,\ gas\ estimation\,\ RPC\ calls\,\ logging\,\ and\ TUI\ rendering.\ Prioritize\ changes\ that\ reduce\ latency\ or\ wasted\ work\ without\ weakening\ correctness.
query	0	graphify-out/workspace-audit-runs/20260428T043911Z/query_observability_and_operator_confusion.md	graphify query Audit\ observability\ across\ logs\,\ metrics\,\ TUI\,\ startup/shutdown\,\ watcher\ recovery\,\ discovery\ progress\,\ route\ rejection\,\ execution\ rejection\,\ RPC\ failover\,\ and\ persistence\ errors.\ Identify\ where\ important\ irreversible\ decisions\ or\ repeated\ warnings\ need\ clearer\ structured\ context\,\ metrics\,\ rate\ limiting\,\ or\ deduplication.
query	0	graphify-out/workspace-audit-runs/20260428T043911Z/query_test_and_verification_gaps.md	graphify query Rank\ the\ top\ 15\ missing\ or\ weak\ tests\ that\ would\ most\ improve\ confidence\ in\ profitable\ execution.\ Cover\ discovery\ resume\,\ watcher\ rollback\,\ state\ normalization\,\ route\ freshness\,\ gas/token\ parity\,\ ABI\ encoding\,\ RPC\ failover\,\ DB\ transactions\,\ startup/shutdown\,\ and\ TUI/log\ containment.\ Name\ likely\ test\ files\ or\ new\ scripts.
query	0	graphify-out/workspace-audit-runs/20260428T043911Z/query_dead_code_and_conflicting_ownership.md	graphify query Find\ dead\,\ stale\,\ duplicate\,\ redundant\,\ or\ conflicting\ code\ ownership\ across\ runner.ts\,\ runtime\ coordinators\,\ discovery\ helpers\,\ registry\ helpers\,\ protocol\ math\,\ routing\,\ execution\,\ logger/TUI\ surfaces\,\ and\ scripts.\ Separate\ safe\ deletion\ candidates\ from\ code\ that\ is\ live\ but\ poorly\ named\ or\ under-tested.
query	0	graphify-out/workspace-audit-runs/20260428T043911Z/query_combined_repair_roadmap.md	graphify query Produce\ one\ ordered\ repair\ roadmap\ from\ this\ graph:\ immediate\ correctness\ fixes\ first\,\ then\ production\ safety\ hardening\,\ then\ optimization\ and\ cleanup.\ For\ each\ item\ include\ owner\ files\,\ verification\ command\,\ and\ whether\ it\ should\ be\ fixed\ now\ or\ tracked\ for\ a\ larger\ refactor.
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_discoverpools_to_computeprofit.md	graphify path discoverPools\(\) computeProfit\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_statewatcher_to_simulatehop.md	graphify path StateWatcher simulateHop\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_rollbacktoblock_to_routecache.md	graphify path rollbackToBlock\(\) RouteCache
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_scoreroute_to_buildarbtx.md	graphify path scoreRoute\(\) buildArbTx\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_computeprofit_to_recommendgasparams.md	graphify path computeProfit\(\) recommendGasParams\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_rpcmanager_to_readcontractwithretry.md	graphify path RpcManager readContractWithRetry\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_registryservice_to_buildgraph.md	graphify path RegistryService buildGraph\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_routecache_to_sendtx.md	graphify path RouteCache sendTx\(\)
path	0	graphify-out/workspace-audit-runs/20260428T043911Z/path_log_to_starttui.md	graphify path log\(\) startTui\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_registryservice.md	graphify explain RegistryService
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_statewatcher.md	graphify explain StateWatcher
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_routecache.md	graphify explain RouteCache
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_rpcmanager.md	graphify explain RpcManager
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_computeprofit.md	graphify explain computeProfit\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_scoreroute.md	graphify explain scoreRoute\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_recommendgasparams.md	graphify explain recommendGasParams\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_buildarbtx.md	graphify explain buildArbTx\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_sendtx.md	graphify explain sendTx\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T043911Z/explain_workerpool.md	graphify explain WorkerPool
