kind	status	output	command
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_runtime_config_and_package_script_drift.md	graphify query Audit\ runtime\ configuration\ and\ operator\ scripts\ across\ package.json\,\ .env.example\,\ src/config/index.ts\,\ runner.ts\,\ tune_performance.ts\,\ performance\ cache\ files\,\ metrics\ configuration\,\ HyperSync/RPC\ env\ vars\,\ live-mode\ keys\,\ and\ test\ entrypoints.\ Find\ hard-coded\ defaults\,\ undocumented\ env\ vars\,\ unsafe\ fallbacks\,\ script\ drift\,\ and\ misconfigurations\ that\ could\ make\ a\ production\ run\ differ\ from\ tested\ behavior. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_route_topology_cache_and_performance_persistence.md	graphify query Audit\ topology\ and\ route-cycle\ cache\ behavior\ across\ createTopologyService\,\ topology_cache\,\ route\ cycle\ cache\ files\,\ refreshCycles\,\ enumerateCycles\,\ enumerateCyclesDual\,\ selective\ 4-hop\ expansion\,\ dynamic\ pivot\ token\ selection\,\ worker\ pool\ startup\,\ and\ graph\ rebuild\ invalidation.\ Identify\ persistence\ gaps\,\ stale-cache\ risks\,\ unnecessary\ recomputation\,\ and\ performance\ knobs\ that\ should\ be\ bounded\ or\ tested. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_graph_confidence_and_inferred_edge_validation.md	graphify query Review\ the\ current\ graph\ report\'s\ high-INFERRED\ nodes\ and\ surprising\ connections.\ Prioritize\ inferred\ edges\ around\ get\(\)\,\ normalizeEvmAddress\(\)\,\ normalizeProtocolKey\(\)\,\ log\(\)\,\ startMetricsServer\,\ RegistryService\,\ StateWatcher\,\ RpcManager\,\ and\ route\ topology.\ Identify\ which\ inferred\ edges\ are\ likely\ false\ positives\,\ which\ deserve\ manual\ source\ verification\,\ and\ which\ should\ become\ concrete\ Graphify\ path\ or\ explain\ checks. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_audit_pack_coverage_and_query_quality.md	graphify query Audit\ scripts/graphify_workspace_audit_queries.sh\ and\ the\ other\ graphify_\*\ query\ packs\ as\ first-class\ tooling.\ Identify\ stale\ questions\,\ duplicated\ coverage\,\ missing\ risk\ surfaces\,\ output\ usability\ problems\,\ brittle\ command\ handling\,\ missing\ budgets\,\ poor\ artifact\ links\,\ and\ queries\ that\ should\ be\ split\ or\ made\ more\ specific.\ Recommend\ concrete\ edits\ to\ the\ pack. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_observability_and_operator_confusion.md	graphify query Audit\ observability\ across\ logs\,\ metrics\,\ TUI\,\ startup/shutdown\,\ watcher\ recovery\,\ discovery\ progress\,\ route\ rejection\,\ execution\ rejection\,\ RPC\ failover\,\ and\ persistence\ errors.\ Identify\ where\ important\ irreversible\ decisions\ or\ repeated\ warnings\ need\ clearer\ structured\ context\,\ metrics\,\ rate\ limiting\,\ or\ deduplication. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_test_and_verification_gaps.md	graphify query Rank\ the\ top\ 15\ missing\ or\ weak\ tests\ that\ would\ most\ improve\ confidence\ in\ profitable\ execution.\ Cover\ discovery\ resume\,\ watcher\ rollback\,\ state\ normalization\,\ route\ freshness\,\ gas/token\ parity\,\ ABI\ encoding\,\ RPC\ failover\,\ DB\ transactions\,\ startup/shutdown\,\ and\ TUI/log\ containment.\ Name\ likely\ test\ files\ or\ new\ scripts. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_dead_code_and_conflicting_ownership.md	graphify query Find\ dead\,\ stale\,\ duplicate\,\ redundant\,\ or\ conflicting\ code\ ownership\ across\ runner.ts\,\ runtime\ coordinators\,\ discovery\ helpers\,\ registry\ helpers\,\ protocol\ math\,\ routing\,\ execution\,\ logger/TUI\ surfaces\,\ and\ scripts.\ Separate\ safe\ deletion\ candidates\ from\ code\ that\ is\ live\ but\ poorly\ named\ or\ under-tested. --budget 800
query	0	graphify-out/workspace-audit-runs/20260428T045222Z/query_combined_repair_roadmap.md	graphify query Produce\ one\ ordered\ repair\ roadmap\ from\ this\ graph:\ immediate\ correctness\ fixes\ first\,\ then\ production\ safety\ hardening\,\ then\ optimization\ and\ cleanup.\ For\ each\ item\ include\ owner\ files\,\ verification\ command\,\ and\ whether\ it\ should\ be\ fixed\ now\ or\ tracked\ for\ a\ larger\ refactor. --budget 800
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_discoverpools_to_computeprofit.md	graphify path discoverPools\(\) computeProfit\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_statewatcher_to_simulatehop.md	graphify path StateWatcher simulateHop\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_rollbacktoblock_to_routecache.md	graphify path rollbackToBlock\(\) RouteCache
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_scoreroute_to_buildarbtx.md	graphify path scoreRoute\(\) buildArbTx\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_computeprofit_to_recommendgasparams.md	graphify path computeProfit\(\) recommendGasParams\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_rpcmanager_to_readcontractwithretry.md	graphify path RpcManager readContractWithRetry\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_registryservice_to_buildgraph.md	graphify path RegistryService buildGraph\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_routecache_to_sendtx.md	graphify path RouteCache sendTx\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_log_to_starttui.md	graphify path log\(\) startTui\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_createtopologyservice_to_enumeratecyclesdual.md	graphify path createTopologyService\(\) enumerateCyclesDual\(\)
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_startmetricsserver_to_runner_ts.md	graphify path startMetricsServer\(\) runner.ts
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_createwarmupmanager_to_boot_mode_ts.md	graphify path createWarmupManager\(\) boot_mode.ts
path	0	graphify-out/workspace-audit-runs/20260428T045222Z/path_boot_mode_ts_to_startmetricsserver.md	graphify path boot_mode.ts startMetricsServer\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_registryservice.md	graphify explain RegistryService
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_statewatcher.md	graphify explain StateWatcher
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_routecache.md	graphify explain RouteCache
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_rpcmanager.md	graphify explain RpcManager
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_startmetricsserver.md	graphify explain startMetricsServer\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_createwarmupmanager.md	graphify explain createWarmupManager\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_createtopologyservice.md	graphify explain createTopologyService\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_computeprofit.md	graphify explain computeProfit\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_scoreroute.md	graphify explain scoreRoute\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_recommendgasparams.md	graphify explain recommendGasParams\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_buildarbtx.md	graphify explain buildArbTx\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_sendtx.md	graphify explain sendTx\(\)
explain	0	graphify-out/workspace-audit-runs/20260428T045222Z/explain_workerpool.md	graphify explain WorkerPool
